arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.55,257,64,184,95,0.29796296296296293,0.08148148148148138,0.5866666666666667,0.0,0.21648148148148155,0.507891414141414
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.56,256,62,186,96,0.29515151515151516,0.06060606060606055,0.5866666666666667,0.0,0.2345454545454546,0.503099173553719
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.57,255,61,187,97,0.2902325581395349,0.0387596899224808,0.5866666666666667,0.0,0.2514728682170541,0.4947145877378436
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.58,254,57,191,98,0.29214285714285715,0.015873015873015928,0.5866666666666667,0.0,0.2762698412698412,0.4979707792207792
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.59,252,54,194,100,0.2904878048780488,-0.008130081300812941,0.5866666666666667,0.0,0.29861788617886176,0.49514966740576505
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.6,250,53,195,102,0.2841666666666667,-0.033333333333333215,0.5866666666666667,0.0,0.3174999999999999,0.484375
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.61,250,53,195,102,0.27850427350427354,-0.05982905982905984,0.5866666666666667,0.0,0.3383333333333334,0.4747231934731935
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.62,248,53,195,104,0.26921052631578946,-0.08771929824561397,0.5866666666666667,0.0,0.35692982456140343,0.45888157894736836
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.63,247,51,197,105,0.266936936936937,-0.11711711711711703,0.5866666666666667,0.0,0.384054054054054,0.4550061425061426
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.64,245,51,197,107,0.2572222222222222,-0.14814814814814814,0.5866666666666667,0.0,0.4053703703703703,0.4384469696969696
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.65,244,49,199,108,0.255,-0.1809523809523811,0.5866666666666667,0.0,0.4359523809523811,0.43465909090909094
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.66,242,48,200,110,0.2480392156862745,-0.21568627450980404,0.5866666666666667,0.0,0.46372549019607856,0.42279411764705876
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.67,242,48,200,110,0.24090909090909085,-0.2525252525252527,0.5866666666666667,0.0,0.49343434343434356,0.4106404958677685
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.68,242,46,202,110,0.24041666666666664,-0.29166666666666685,0.5866666666666667,0.0,0.5320833333333335,0.4098011363636363
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.69,240,45,203,112,0.23306451612903234,-0.33333333333333304,0.5866666666666667,0.0,0.5663978494623654,0.39726906158357783
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.7,238,44,204,114,0.22555555555555556,-0.37777777777777766,0.5866666666666667,0.0,0.6033333333333333,0.38446969696969696
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.71,235,43,205,117,0.21620689655172415,-0.4252873563218389,0.5866666666666667,0.0,0.641494252873563,0.3685344827586207
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.72,235,42,206,117,0.21166666666666667,-0.47619047619047605,0.5866666666666667,0.0,0.6878571428571427,0.36079545454545453
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.73,233,41,207,119,0.20358024691358026,-0.5308641975308641,0.5866666666666667,0.0,0.7344444444444443,0.34701178451178455
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.74,232,39,209,120,0.20166666666666666,-0.5897435897435896,0.5866666666666667,0.0,0.7914102564102563,0.34375
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.75,228,36,212,124,0.2,-0.6533333333333333,0.5866666666666667,0.0,0.8533333333333333,0.34090909090909094
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.76,225,35,213,127,0.19027777777777777,-0.7222222222222223,0.5866666666666667,0.0,0.9125000000000001,0.3243371212121212
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.77,223,33,215,129,0.18753623188405794,-0.7971014492753623,0.5866666666666667,0.0,0.9846376811594202,0.3196640316205533
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.78,219,33,215,133,0.16999999999999996,-0.8787878787878789,0.5866666666666667,0.0,1.0487878787878788,0.2897727272727272
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.79,218,33,215,134,0.1564285714285714,-0.9682539682539686,0.5866666666666667,0.0,1.12468253968254,0.2666396103896103
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.8,216,33,215,136,0.13999999999999993,-1.066666666666667,0.5866666666666667,0.0,1.206666666666667,0.2386363636363635
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.01,155,98,4,0,0.5992610934245175,0.5991038792595212,0.603112840466926,0.0,0.0001572141649962555,0.9936135549038775
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.02,155,95,7,0,0.5955689668863654,0.5950131025172715,0.603112840466926,0.0,0.0005558643690939391,0.9874917709019091
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.03,155,90,12,0,0.5922820811103534,0.5908379798628104,0.603112840466926,0.0,0.001444101247543017,0.9820419022281344
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.04,155,87,15,0,0.5890077821011673,0.5865758754863812,0.603112840466926,0.0,0.0024319066147860946,0.9766129032258065
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.05,155,83,19,0,0.5861150931804219,0.5822240425967642,0.603112840466926,0.0,0.0038910505836576847,0.9718166383701189
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.06,155,81,21,0,0.5829952810663134,0.5777796175180064,0.603112840466926,0.0,0.005215663548306937,0.9666437886067261
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.07,154,75,27,1,0.5772561817497176,0.5732396134052968,0.603112840466926,0.0,0.004016568344420768,0.9571279916753382
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.08,154,72,30,1,0.5748604297073253,0.5686009135510066,0.603112840466926,0.0,0.006259516156318701,0.953155680224404
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.09,154,68,34,1,0.5730534057382306,0.5638602642493693,0.603112840466926,0.0,0.0091931414888613,0.9501595179014534
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.1,154,66,36,1,0.5706874189364461,0.5590142671854734,0.603112840466926,0.0,0.011673151750972721,0.946236559139785
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.11,154,65,37,1,0.5679622262055699,0.5540593713111528,0.603112840466926,0.0,0.013902854894417116,0.9417180137731063
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.12,153,58,44,2,0.5645560665015918,0.5489918641669614,0.603112840466926,0.0,0.015564202334630406,0.9360703812316717
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.13,152,56,46,3,0.5588800930274163,0.5438078626056622,0.603112840466926,0.0,0.015072230421754096,0.9266592510196515
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.14,152,54,48,3,0.5572346393991494,0.5385033028685187,0.603112840466926,0.0,0.01873133653063075,0.9239309827456865
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.15,152,52,50,3,0.5557335774776837,0.5330739299610895,0.603112840466926,0.0,0.022659647516594217,0.9214421252371917
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.16,152,49,53,3,0.5551232166018158,0.52751528627015,0.603112840466926,0.0,0.027607930331665864,0.9204301075268818
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.17,151,47,55,4,0.5500914162486522,0.5218226993577422,0.603112840466926,0.0,0.02826871689091004,0.9120870579090556
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.18,150,45,57,5,0.545221600075923,0.5159912688621049,0.603112840466926,0.0,0.029230331213818128,0.904012588512982
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.19,150,42,60,5,0.5453235336503819,0.5100158524283037,0.603112840466926,0.0,0.03530768122207817,0.9041816009557946
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.2,150,39,63,5,0.5457198443579767,0.5038910505836576,0.603112840466926,0.0,0.04182879377431914,0.9048387096774195
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.21,150,39,63,5,0.5433187213712259,0.49761119046446334,0.603112840466926,0.0,0.045707530906762606,0.9008574928542263
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.22,149,37,65,6,0.5391599321560412,0.49117030829093083,0.603112840466926,0.0,0.047989623865110353,0.8939619520264683
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.23,148,35,67,7,0.5351963211885391,0.4845621304765273,0.603112840466926,0.0,0.050634190712011806,0.8873900293255133
