arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.53,52,7,39,10,0.4083924349881796,0.09377462568951922,0.5740740740740741,0.0,0.3146178092986604,0.7113932738503774
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.54,52,7,39,10,0.4053945249597423,0.07407407407407407,0.5740740740740741,0.0,0.33132045088566825,0.7061711079943899
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.55,51,7,39,11,0.39300411522633744,0.05349794238683114,0.5740740740740741,0.0,0.3395061728395063,0.6845878136200717
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.56,50,7,39,12,0.38047138047138046,0.031986531986531896,0.5740740740740741,0.0,0.34848484848484856,0.6627565982404692
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.57,49,6,40,13,0.3800602928509906,0.009474590869939847,0.5740740740740741,0.0,0.37058570198105073,0.662040510127532
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.58,46,6,40,16,0.34920634920634924,-0.014109347442680664,0.5740740740740741,0.0,0.3633156966490299,0.6082949308755761
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.59,44,6,40,18,0.3274616079494128,-0.038843721770550954,0.5740740740740741,0.0,0.36630532971996377,0.5704169944925256
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.6,43,5,41,19,0.3287037037037037,-0.06481481481481477,0.5740740740740741,0.0,0.3935185185185185,0.5725806451612904
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.61,42,4,42,20,0.3309591642924976,-0.09211775878442541,0.5740740740740741,0.0,0.423076923076923,0.576509511993383
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.62,41,4,42,21,0.31920077972709554,-0.12085769980506822,0.5740740740740741,0.0,0.44005847953216376,0.5560271646859084
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.63,40,3,43,22,0.32307307307307304,-0.1511511511511512,0.5740740740740741,0.0,0.4742242242242242,0.562772449869224
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.64,37,3,43,25,0.2932098765432099,-0.18312757201646102,0.5740740740740741,0.0,0.4763374485596709,0.5107526881720431
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.65,36,3,43,26,0.28174603174603174,-0.21693121693121709,0.5740740740740741,0.0,0.49867724867724883,0.49078341013824883
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.66,36,3,43,26,0.27941176470588236,-0.252723311546841,0.5740740740740741,0.0,0.5321350762527234,0.4867172675521822
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.67,35,3,43,27,0.2676767676767677,-0.2906846240179576,0.5740740740740741,0.0,0.5583613916947252,0.46627565982404695
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.68,35,3,43,27,0.2650462962962963,-0.3310185185185187,0.5740740740740741,0.0,0.596064814814815,0.46169354838709675
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.69,35,3,43,27,0.26224611708482676,-0.37395459976105117,0.5740740740740741,0.0,0.6362007168458779,0.45681581685744016
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.7,33,2,44,29,0.26234567901234573,-0.41975308641975295,0.5740740740740741,0.0,0.6820987654320987,0.45698924731182805
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.71,33,2,44,29,0.2602171136653896,-0.46871008939974457,0.5740740740740741,0.0,0.7289272030651341,0.45328142380422703
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.72,31,2,44,31,0.23941798941798942,-0.521164021164021,0.5740740740740741,0.0,0.7605820105820105,0.41705069124423966
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.73,31,2,44,31,0.23696844993141292,-0.5775034293552811,0.5740740740740741,0.0,0.8144718792866941,0.41278375149342894
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.74,31,2,44,31,0.23433048433048434,-0.638176638176638,0.5740740740740741,0.0,0.8725071225071223,0.40818858560794047
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.75,31,2,44,31,0.23148148148148148,-0.7037037037037036,0.5740740740740741,0.0,0.9351851851851851,0.40322580645161293
